SourceKey	zh_CN	en_US	ja_JP	ko_KR
<html><head/></head><body><p><span style=" color:#ffffff;">点击查看眼追说明书</span></p></body></html>	<html><head/></head><body><p><span style=" color:#ffffff;">点击查看眼追说明书</span></p></body></html>	Click to view eye tracking instructions	アイトラッキングのマニュアルを表示するにはクリック	아이트래킹 설명서를 보려면 클릭
<html><head/></head><body><p><span style=" color:#ffffff;">点击查看面捕说明书</span></p></body></html>	<html><head/></head><body><p><span style=" color:#ffffff;">点击查看面捕说明书</span></p></body></html>	Click to view facial capture instructions	フェイシャルキャプチャのマニュアルを表示するにはクリック	페이셜 캡처 설명서를 보려면 클릭
Based on Project Babble: https://babble.diy/	Based on Project Babble: https://babble.diy/	Based on Project Babble: https://babble.diy/	Project Babble: https://babble.diy/ 基準	프로젝트 바블 기반: https://babble.diy/
IP地址：	IP地址：	IP Address:	IPアドレス:	IP 주소:
PaperEyeTrackerWindow	PaperEyeTrackerWindow	Paper Eye Tracker Window	ペーパーアイトラッカー ウィンドウ	페이퍼아이트래커 윈도우
PaperTrack	PaperTrack	PaperTrack	PaperTrack	페이퍼트랙
PaperTrackerMainWindow	PaperTrackerMainWindow	Paper Tracker Main Window	ペーパートラッカー メインウィンドウ	페이퍼트래커 메인 윈도우
VRCFT已成功启动	VRCFT已成功启动	VRCFT started successfully	VRCFTが正常に起動しました	VRCFT가 성공적으로 시작됨
VRCFT已成功重启	VRCFT已成功重启	VRCFT restarted successfully	VRCFTが正常に再起動しました	VRCFT가 성공적으로 재시작됨
x1	x1	x1	x1	x1
x3	x3	x3	x3	x3
上唇内卷	上唇内卷	Upper lip inward curl	上唇内巻き	윗입술 안쪽으로 말림
上唇耸起	上唇耸起	Upper lip raised	上唇を持ち上げ	윗입술 들림
下唇内卷	下唇内卷	Lower lip inward curl	下唇内巻き	아랫입술 안쪽으로 말림
下唇耸起	下唇耸起	Lower lip raised	下唇を持ち上げ	아랫입술 들림
下巴下移	下巴下移	Jaw moves downward	顎を下に移動	턱 아래로 이동
下巴右移	下巴右移	Jaw moves right	顎を右に移動	턱 오른쪽으로 이동
下巴左移	下巴左移	Jaw moves left	顎を左に移動	턱 왼쪽으로 이동
串口日志	串口日志	Serial Log	シリアルログ	시리얼 로그
主页面	主页面	Main Page	メインページ	메인 페이지
亮度调整	亮度调整	Brightness Adjustment	明るさ調整	밝기 조정
偏置值	偏置值	Bias Value	バイアス値	바이어스 값
刷写固件	刷写固件	Flash Firmware	ファームウェア書き込み	펌웨어 플래싱
发送	发送	Send	送信	전송
右眼IP	右眼IP	Right Eye IP	右目のIP	오른쪽 눈 IP
右眼WIFI未连接	右眼WIFI未连接	Right Eye WIFI not connected	右目のWIFI未接続	오른쪽 눈 WIFI 연결되지 않음
右眼开合度	右眼开合度	Right Eye Opening Degree	右目の開閉角度	오른쪽 눈 개폐 각도
右眼旋转角度	右眼旋转角度	Right Eye Rotation Angle	右目の回転角度	오른쪽 눈 회전 각도
